threshold,predicted_positive,precision,recall,tp,fp,tn,fn
0.14376067019273636,7379,0.3233500474319013,0.5639328763885606,2386,4993,26944,1845
0.14373908353550768,7380,0.32330623306233064,0.5639328763885606,2386,4994,26943,1845
0.14372701752573813,7381,0.323397913561848,0.5641692271330655,2387,4994,26943,1844
0.14372691616199865,7382,0.32335410457870495,0.5641692271330655,2387,4995,26942,1844
0.14370793644156962,7383,0.32331030746309086,0.5641692271330655,2387,4996,26941,1844
0.1437040974606651,7384,0.3232665222101842,0.5641692271330655,2387,4997,26940,1844
0.1436795290192193,7385,0.3232227488151659,0.5641692271330655,2387,4998,26939,1844
0.14367013414597343,7386,0.3231789872732196,0.5641692271330655,2387,4999,26938,1844
0.14366508472405737,7387,0.3231352375795316,0.5641692271330655,2387,5000,26937,1844
0.1436562461588472,7388,0.32309149972929074,0.5641692271330655,2387,5001,26936,1844
0.14365081685339667,7389,0.32304777371768845,0.5641692271330655,2387,5002,26935,1844
0.1436487840170567,7390,0.3230040595399188,0.5641692271330655,2387,5003,26934,1844
0.14364461752903254,7391,0.32296035719117844,0.5641692271330655,2387,5004,26933,1844
0.143612169084986,7392,0.3229166666666667,0.5641692271330655,2387,5005,26932,1844
0.14359620882433013,7393,0.32287298796158526,0.5641692271330655,2387,5006,26931,1844
0.14359467647444496,7394,0.32282932107113876,0.5641692271330655,2387,5007,26930,1844
0.1435921626615962,7395,0.32278566599053415,0.5641692271330655,2387,5008,26929,1844
0.14358556619977017,7396,0.3227420227149811,0.5641692271330655,2387,5009,26928,1844
0.14357930433860247,7397,0.32269839123969174,0.5641692271330655,2387,5010,26927,1844
0.1435768495923339,7398,0.32265477155988104,0.5641692271330655,2387,5011,26926,1844
0.1435758394964551,7399,0.3226111636707663,0.5641692271330655,2387,5012,26925,1844
0.14353070361250278,7400,0.32256756756756755,0.5641692271330655,2387,5013,26924,1844
0.14352491227052805,7401,0.32252398324550735,0.5641692271330655,2387,5014,26923,1844
0.1435198106869944,7402,0.32261550932180494,0.5644055778775703,2388,5014,26923,1843
0.14351928601412461,7403,0.3225719302985276,0.5644055778775703,2388,5015,26922,1843
0.14350704768661182,7404,0.3225283630470016,0.5644055778775703,2388,5016,26921,1843
0.14347338797706752,7405,0.3224848075624578,0.5644055778775703,2388,5017,26920,1843
0.14345357636336997,7406,0.3224412638401296,0.5644055778775703,2388,5018,26919,1843
0.1434504145757216,7407,0.3223977318752531,0.5644055778775703,2388,5019,26918,1843
0.14344581233594816,7408,0.32235421166306694,0.5644055778775703,2388,5020,26917,1843
0.14343560402513914,7409,0.3223107031988123,0.5644055778775703,2388,5021,26916,1843
0.14342812819227888,7410,0.32226720647773277,0.5644055778775703,2388,5022,26915,1843
0.1434160510248881,7411,0.3222237214950749,0.5644055778775703,2388,5023,26914,1843
0.14341229984855244,7412,0.32218024824608743,0.5644055778775703,2388,5024,26913,1843
0.14340854473978645,7413,0.32213678672602186,0.5644055778775703,2388,5025,26912,1843
0.1433846400451413,7414,0.3220933369301322,0.5644055778775703,2388,5026,26911,1843
0.14337957595869036,7415,0.32204989885367497,0.5644055778775703,2388,5027,26910,1843
0.14335052079097868,7416,0.3220064724919094,0.5644055778775703,2388,5028,26909,1843
0.1433423509746074,7417,0.3219630578400971,0.5644055778775703,2388,5029,26908,1843
0.14333326949331643,7418,0.32191965489350227,0.5644055778775703,2388,5030,26907,1843
0.1433279286191558,7419,0.32187626364739186,0.5644055778775703,2388,5031,26906,1843
0.14332418303656907,7420,0.32183288409703503,0.5644055778775703,2388,5032,26905,1843
0.14331205187150617,7421,0.3217895162377038,0.5644055778775703,2388,5033,26904,1843
0.14330677250971757,7422,0.3217461600646726,0.5644055778775703,2388,5034,26903,1843
0.1432952992848105,7423,0.3217028155732184,0.5644055778775703,2388,5035,26902,1843
0.14328382061917858,7424,0.32165948275862066,0.5644055778775703,2388,5036,26901,1843
0.1432573435260497,7425,0.32161616161616163,0.5644055778775703,2388,5037,26900,1843
0.14325532948957811,7426,0.3217075141395098,0.5646419286220752,2389,5037,26900,1842
0.14322742531975258,7427,0.3216641981957722,0.5646419286220752,2389,5038,26899,1842
0.14321184478590182,7428,0.32162089391491655,0.5646419286220752,2389,5039,26898,1842
0.143207643211782,7429,0.3215776012922331,0.5646419286220752,2389,5040,26897,1842
0.143207189284714,7430,0.3215343203230148,0.5646419286220752,2389,5041,26896,1842
0.1432017007013876,7431,0.32149105100255687,0.5646419286220752,2389,5042,26895,1842
0.1431434328952549,7432,0.32144779332615714,0.5646419286220752,2389,5043,26894,1842
0.14309063086757257,7433,0.3214045472891161,0.5646419286220752,2389,5044,26893,1842
0.14305824778007964,7434,0.32149582997040627,0.56487827936658,2390,5044,26893,1841
0.14302798451890988,7435,0.3214525891055817,0.56487827936658,2390,5045,26892,1841
0.1430093103048157,7436,0.32140935987089836,0.56487827936658,2390,5046,26891,1841
0.1429995858028985,7437,0.3215006050826946,0.5651146301110849,2391,5046,26891,1840
0.1429985049435775,7438,0.32145738101640225,0.5651146301110849,2391,5047,26890,1840
0.14299761180571477,7439,0.3214141685710445,0.5651146301110849,2391,5048,26889,1840
0.14298644619208647,7440,0.32137096774193546,0.5651146301110849,2391,5049,26888,1840
0.14297911899163365,7441,0.32132777852439187,0.5651146301110849,2391,5050,26887,1840
0.14293116812418066,7442,0.32128460091373284,0.5651146301110849,2391,5051,26886,1840
0.14290570666380847,7443,0.3213757893322585,0.5653509808555897,2392,5051,26886,1839
0.14290472740552995,7444,0.32133261687264913,0.5653509808555897,2392,5052,26885,1839
0.14290086712597114,7445,0.32142377434519814,0.5655873316000946,2393,5052,26885,1838
0.1428972743210812,7446,0.3213806070373355,0.5655873316000946,2393,5053,26884,1838
0.14289661788437413,7447,0.32133745132268027,0.5655873316000946,2393,5054,26883,1838
0.14289163414170877,7448,0.3212943071965628,0.5655873316000946,2393,5055,26882,1838
0.14289038208393812,7449,0.321251174654316,0.5655873316000946,2393,5056,26881,1838
0.1428891335946645,7450,0.32120805369127514,0.5655873316000946,2393,5057,26880,1838
0.14288431210724217,7451,0.32116494430277814,0.5655873316000946,2393,5058,26879,1838
0.14287903324723406,7452,0.3211218464841653,0.5655873316000946,2393,5059,26878,1838
0.14287844087817794,7453,0.3210787602307795,0.5655873316000946,2393,5060,26877,1838
0.14287817843629835,7454,0.3210356855379662,0.5655873316000946,2393,5061,26876,1838
0.14287792090438248,7455,0.3209926224010731,0.5655873316000946,2393,5062,26875,1838
0.14287170478886058,7456,0.32094957081545067,0.5655873316000946,2393,5063,26874,1838
0.1428707684409812,7457,0.32090653077645165,0.5655873316000946,2393,5064,26873,1838
0.14286985898239785,7458,0.3208635022794315,0.5655873316000946,2393,5065,26872,1838
0.14286558026131208,7459,0.32082048531974794,0.5655873316000946,2393,5066,26871,1838
0.14286271115681043,7460,0.3207774798927614,0.5655873316000946,2393,5067,26870,1838
0.14285732423802802,7461,0.3207344859938346,0.5655873316000946,2393,5068,26869,1838
0.14285619424672127,7462,0.3206915036183329,0.5655873316000946,2393,5069,26868,1838
0.14284957192450884,7463,0.320648532761624,0.5655873316000946,2393,5070,26867,1838
0.14283988268243242,7464,0.32060557341907825,0.5655873316000946,2393,5071,26866,1838
0.14283941609024428,7465,0.32069658405894175,0.5658236823445993,2394,5071,26866,1837
0.14283895512644953,7466,0.320653629788374,0.5658236823445993,2394,5072,26865,1837
0.14283888407011452,7467,0.32061068702290074,0.5658236823445993,2394,5073,26864,1837
0.1428382515485949,7468,0.32056775575790036,0.5658236823445993,2394,5074,26863,1837
0.14282389696590375,7469,0.32052483598875353,0.5658236823445993,2394,5075,26862,1837
0.1427834217948626,7470,0.3204819277108434,0.5658236823445993,2394,5076,26861,1837
0.1427806216499174,7471,0.3204390309195556,0.5658236823445993,2394,5077,26860,1837
0.1427640942953779,7472,0.32039614561027835,0.5658236823445993,2394,5078,26859,1837
0.14276007912724492,7473,0.3203532717784022,0.5658236823445993,2394,5079,26858,1837
0.14273222853175885,7474,0.32044420658282047,0.5660600330891042,2395,5079,26858,1836
0.14271609500415938,7475,0.3204013377926421,0.5660600330891042,2395,5080,26857,1836
0.14271140677373115,7476,0.32035848047084003,0.5660600330891042,2395,5081,26856,1836
0.14270742697359448,7477,0.32031563461281265,0.5660600330891042,2395,5082,26855,1836
0.1427031710333024,7478,0.32027280021396093,0.5660600330891042,2395,5083,26854,1836
0.14269762942398231,7479,0.32022997726968844,0.5660600330891042,2395,5084,26853,1836
0.14269128446180096,7480,0.3201871657754011,0.5660600330891042,2395,5085,26852,1836
0.1426808493550606,7481,0.3201443657265072,0.5660600330891042,2395,5086,26851,1836
0.1426706027548198,7482,0.3201015771184175,0.5660600330891042,2395,5087,26850,1836
0.14266478667708443,7483,0.3200587999465455,0.5660600330891042,2395,5088,26849,1836
0.14265606650573015,7484,0.3200160342063068,0.5660600330891042,2395,5089,26848,1836
0.14265455844588118,7485,0.3199732798931196,0.5660600330891042,2395,5090,26847,1836
0.14265002186435857,7486,0.3199305370024045,0.5660600330891042,2395,5091,26846,1836
0.142636328658308,7487,0.3198878055295846,0.5660600330891042,2395,5092,26845,1836
0.14263139338300754,7488,0.31984508547008544,0.5660600330891042,2395,5093,26844,1836
0.14263120233416118,7489,0.31980237681933504,0.5660600330891042,2395,5094,26843,1836
0.14262620518962194,7490,0.3197596795727637,0.5660600330891042,2395,5095,26842,1836
0.1426027339753507,7491,0.31985048725136833,0.566296383833609,2396,5095,26842,1835
0.14258275679341847,7492,0.3198077949813134,0.566296383833609,2396,5096,26841,1835
0.14258261945403042,7493,0.3197651141064994,0.566296383833609,2396,5097,26840,1835
0.14258050430953348,7494,0.31972244462236454,0.566296383833609,2396,5098,26839,1835
0.14256949934998225,7495,0.3196797865243496,0.566296383833609,2396,5099,26838,1835
0.14255813878143483,7496,0.31963713980789754,0.566296383833609,2396,5100,26837,1835
0.14255678776764066,7497,0.31959450446845405,0.566296383833609,2396,5101,26836,1835
0.1425446255846906,7498,0.31955188050146704,0.566296383833609,2396,5102,26835,1835
0.1425431429331609,7499,0.319509267902387,0.566296383833609,2396,5103,26834,1835
0.14253716064180166,7500,0.3194666666666667,0.566296383833609,2396,5104,26833,1835
0.14253334394587852,7501,0.31942407678976137,0.566296383833609,2396,5105,26832,1835
0.14252655077929052,7502,0.31938149826712875,0.566296383833609,2396,5106,26831,1835
0.1425119529812865,7503,0.31933893109422895,0.566296383833609,2396,5107,26830,1835
0.142507337682785,7504,0.31929637526652455,0.566296383833609,2396,5108,26829,1835
0.14248656879142962,7505,0.31925383077948033,0.566296383833609,2396,5109,26828,1835
0.14247265103726026,7506,0.3192112976285638,0.566296383833609,2396,5110,26827,1835
0.14245623793416676,7507,0.3191687758092447,0.566296383833609,2396,5111,26826,1835
0.1424552910153689,7508,0.31912626531699523,0.566296383833609,2396,5112,26825,1835
0.14244819955880111,7509,0.3190837661472899,0.566296383833609,2396,5113,26824,1835
0.1424453497646332,7510,0.31904127829560586,0.566296383833609,2396,5114,26823,1835
0.14243956551397746,7511,0.31899880175742246,0.566296383833609,2396,5115,26822,1835
0.1424288956362744,7512,0.3190894568690096,0.5665327345781139,2397,5115,26822,1834
0.14242881945980543,7513,0.3190469852256089,0.5665327345781139,2397,5116,26821,1834
0.14241915094119287,7514,0.3190045248868778,0.5665327345781139,2397,5117,26820,1834
0.14240398424813386,7515,0.3189620758483034,0.5665327345781139,2397,5118,26819,1834
0.14239858088630275,7516,0.3189196381053752,0.5665327345781139,2397,5119,26818,1834
0.1423869260553531,7517,0.3188772116535852,0.5665327345781139,2397,5120,26817,1834
0.1423681587682583,7518,0.3188347964884278,0.5665327345781139,2397,5121,26816,1834
0.14232783837657745,7519,0.31879239260539965,0.5665327345781139,2397,5122,26815,1834
0.14229457368248688,7520,0.31875,0.5665327345781139,2397,5123,26814,1834
0.14229316353110164,7521,0.31870761866773034,0.5665327345781139,2397,5124,26813,1834
0.14228834935123974,7522,0.3186652486040947,0.5665327345781139,2397,5125,26812,1834
0.14226819967041043,7523,0.31862288980459924,0.5665327345781139,2397,5126,26811,1834
0.1422636232062487,7524,0.3185805422647528,0.5665327345781139,2397,5127,26810,1834
0.14225976229077364,7525,0.31853820598006644,0.5665327345781139,2397,5128,26809,1834
0.14224894096979557,7526,0.3184958809460537,0.5665327345781139,2397,5129,26808,1834
0.14222126730089762,7527,0.31845356715823037,0.5665327345781139,2397,5130,26807,1834
0.14221320498694004,7528,0.3184112646121148,0.5665327345781139,2397,5131,26806,1834
0.14220937318540702,7529,0.3183689733032275,0.5665327345781139,2397,5132,26805,1834
0.14220598140763085,7530,0.3183266932270916,0.5665327345781139,2397,5133,26804,1834
0.14220467090273337,7531,0.3182844243792325,0.5665327345781139,2397,5134,26803,1834
0.14219539882925353,7532,0.3183749336165693,0.5667690853226187,2398,5134,26803,1833
0.14218507892974425,7533,0.3184654188238418,0.5670054360671236,2399,5134,26803,1832
0.14218215173099827,7534,0.3184231483939474,0.5670054360671236,2399,5135,26802,1832
0.14217693662663208,7535,0.3183808891838089,0.5670054360671236,2399,5136,26801,1832
0.1421539300703765,7536,0.31833864118895966,0.5670054360671236,2399,5137,26800,1832
0.14214848905144442,7537,0.318429083189598,0.5672417868116284,2400,5137,26800,1831
0.1421431070765117,7538,0.3183868400106129,0.5672417868116284,2400,5138,26799,1831
0.1421417373940824,7539,0.31847725162488394,0.5674781375561333,2401,5138,26799,1830
0.1421375902719922,7540,0.3184350132625995,0.5674781375561333,2401,5139,26798,1830
0.1421261550265981,7541,0.3183927861026389,0.5674781375561333,2401,5140,26797,1830
0.14212501515787362,7542,0.3183505701405463,0.5674781375561333,2401,5141,26796,1830
0.14212387644505645,7543,0.31830836537186796,0.5674781375561333,2401,5142,26795,1830
0.14209892726941645,7544,0.3182661717921527,0.5674781375561333,2401,5143,26794,1830
0.1420925288766147,7545,0.3182239893969516,0.5674781375561333,2401,5144,26793,1830
